Source;Committee;Reference;Closing date;Title;Url
iso;ISO/TC 344/SC 1;ISO/CD 25688;2026-02-28;Safety guidelines for unmanned stores;https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=548509
iso;ISO/TC 344/SC 1;ISO/CD 25525-1;2026-03-18;Unmanned store — Part 1: Technical concept and classification;https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=559709
iso;ISO/TC 344/SC 1;ISO/CD 25525-2;2026-03-18;Unmanned store — Part 2: Conditions for monitoring store operations;https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=559729
